CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F991,F992,F993,F994,F995
64598,E00004164,E00004164,Output Areas and Small Areas,OASA,112,38,9,1,0
64599,E00004165,E00004165,Output Areas and Small Areas,OASA,94,42,8,1,1
64600,E00004166,E00004166,Output Areas and Small Areas,OASA,108,43,3,1,2
64601,E00004167,E00004167,Output Areas and Small Areas,OASA,16,56,15,11,1
64602,E00004168,E00004168,Output Areas and Small Areas,OASA,50,54,4,1,0
64603,E00004169,E00004169,Output Areas and Small Areas,OASA,112,33,4,0,0
64604,E00004172,E00004172,Output Areas and Small Areas,OASA,112,33,3,0,0
64605,E00004173,E00004173,Output Areas and Small Areas,OASA,107,19,1,0,0
64606,E00004174,E00004174,Output Areas and Small Areas,OASA,113,15,2,1,0
64607,E00004175,E00004175,Output Areas and Small Areas,OASA,113,13,0,2,0
64608,E00004177,E00004177,Output Areas and Small Areas,OASA,66,7,1,0,0
64609,E00004179,E00004179,Output Areas and Small Areas,OASA,158,29,3,0,0
64610,E00004180,E00004180,Output Areas and Small Areas,OASA,106,19,3,0,0
64611,E00004181,E00004181,Output Areas and Small Areas,OASA,184,23,5,0,0
64612,E00004182,E00004182,Output Areas and Small Areas,OASA,53,21,2,0,0
64613,E00004183,E00004183,Output Areas and Small Areas,OASA,86,17,3,0,0
64614,E00004184,E00004184,Output Areas and Small Areas,OASA,93,17,2,0,0
64615,E00004185,E00004185,Output Areas and Small Areas,OASA,144,23,4,0,0
64616,E00004187,E00004187,Output Areas and Small Areas,OASA,154,54,16,2,0
64617,E00004188,E00004188,Output Areas and Small Areas,OASA,93,16,0,0,0
64618,E00004189,E00004189,Output Areas and Small Areas,OASA,83,33,1,1,0
64619,E00004190,E00004190,Output Areas and Small Areas,OASA,333,47,3,1,0
64620,E00004193,E00004193,Output Areas and Small Areas,OASA,100,13,6,0,0
64621,E00004194,E00004194,Output Areas and Small Areas,OASA,110,32,2,0,0
64622,E00004195,E00004195,Output Areas and Small Areas,OASA,93,31,8,1,0
64623,E00004196,E00004196,Output Areas and Small Areas,OASA,64,35,0,2,0
64624,E00004197,E00004197,Output Areas and Small Areas,OASA,84,24,5,3,0
64625,E00004198,E00004198,Output Areas and Small Areas,OASA,144,29,6,3,0
64626,E00004199,E00004199,Output Areas and Small Areas,OASA,131,31,0,1,0
64627,E00004200,E00004200,Output Areas and Small Areas,OASA,110,24,2,0,0
64628,E00004201,E00004201,Output Areas and Small Areas,OASA,61,65,17,1,0
64629,E00004202,E00004202,Output Areas and Small Areas,OASA,144,16,0,0,0
64630,E00004203,E00004203,Output Areas and Small Areas,OASA,118,38,8,0,0
64631,E00004204,E00004204,Output Areas and Small Areas,OASA,69,61,14,3,2
64632,E00004205,E00004205,Output Areas and Small Areas,OASA,71,57,15,1,1
64633,E00004206,E00004206,Output Areas and Small Areas,OASA,77,41,8,0,1
64634,E00004207,E00004207,Output Areas and Small Areas,OASA,88,38,2,0,0
64635,E00004208,E00004208,Output Areas and Small Areas,OASA,98,26,1,0,0
64636,E00004209,E00004209,Output Areas and Small Areas,OASA,76,32,5,0,0
64637,E00004210,E00004210,Output Areas and Small Areas,OASA,89,30,6,1,0
64638,E00004211,E00004211,Output Areas and Small Areas,OASA,95,23,6,0,0
64639,E00004212,E00004212,Output Areas and Small Areas,OASA,67,56,11,0,0
64640,E00004213,E00004213,Output Areas and Small Areas,OASA,91,67,9,0,0
64641,E00004214,E00004214,Output Areas and Small Areas,OASA,171,62,8,0,2
64642,E00004215,E00004215,Output Areas and Small Areas,OASA,47,66,15,1,0
64643,E00004216,E00004216,Output Areas and Small Areas,OASA,57,63,23,3,0
64644,E00004217,E00004217,Output Areas and Small Areas,OASA,86,46,6,2,1
64645,E00004218,E00004218,Output Areas and Small Areas,OASA,80,41,10,0,0
64646,E00004219,E00004219,Output Areas and Small Areas,OASA,142,39,8,1,0
64647,E00004220,E00004220,Output Areas and Small Areas,OASA,53,32,2,0,0
64648,E00004221,E00004221,Output Areas and Small Areas,OASA,55,45,9,2,0
64649,E00004222,E00004222,Output Areas and Small Areas,OASA,56,37,14,1,1
64650,E00004223,E00004223,Output Areas and Small Areas,OASA,81,26,7,2,0
64651,E00004224,E00004224,Output Areas and Small Areas,OASA,67,67,7,6,0
64652,E00004225,E00004225,Output Areas and Small Areas,OASA,165,25,4,1,0
64653,E00004226,E00004226,Output Areas and Small Areas,OASA,23,61,23,10,2
64654,E00004227,E00004227,Output Areas and Small Areas,OASA,80,55,9,0,1
64655,E00004228,E00004228,Output Areas and Small Areas,OASA,44,46,17,0,0
64656,E00004229,E00004229,Output Areas and Small Areas,OASA,90,68,12,2,2
64657,E00004230,E00004230,Output Areas and Small Areas,OASA,90,40,0,0,0
64658,E00004231,E00004231,Output Areas and Small Areas,OASA,44,79,18,1,0
64659,E00004232,E00004232,Output Areas and Small Areas,OASA,92,26,11,3,0
64660,E00004233,E00004233,Output Areas and Small Areas,OASA,58,55,10,1,0
64661,E00004234,E00004234,Output Areas and Small Areas,OASA,50,60,11,3,0
64662,E00004235,E00004235,Output Areas and Small Areas,OASA,132,29,1,0,1
64663,E00004236,E00004236,Output Areas and Small Areas,OASA,109,34,7,0,0
64664,E00004237,E00004237,Output Areas and Small Areas,OASA,92,27,4,0,0
64665,E00004238,E00004238,Output Areas and Small Areas,OASA,58,48,16,4,0
64666,E00004239,E00004239,Output Areas and Small Areas,OASA,68,38,4,1,0
64667,E00004240,E00004240,Output Areas and Small Areas,OASA,99,33,4,0,0
64668,E00004241,E00004241,Output Areas and Small Areas,OASA,45,59,24,4,1
64669,E00004242,E00004242,Output Areas and Small Areas,OASA,75,22,7,1,0
64670,E00004243,E00004243,Output Areas and Small Areas,OASA,47,37,16,8,2
64671,E00004244,E00004244,Output Areas and Small Areas,OASA,57,37,6,0,0
64672,E00004245,E00004245,Output Areas and Small Areas,OASA,94,62,6,0,1
64673,E00004246,E00004246,Output Areas and Small Areas,OASA,74,40,5,2,0
64674,E00004247,E00004247,Output Areas and Small Areas,OASA,102,48,6,0,0
64675,E00004248,E00004248,Output Areas and Small Areas,OASA,142,59,6,0,0
64676,E00004249,E00004249,Output Areas and Small Areas,OASA,61,43,8,2,0
64677,E00004250,E00004250,Output Areas and Small Areas,OASA,74,49,4,0,0
64678,E00004251,E00004251,Output Areas and Small Areas,OASA,45,36,11,2,1
64679,E00004252,E00004252,Output Areas and Small Areas,OASA,60,47,8,0,0
64680,E00004253,E00004253,Output Areas and Small Areas,OASA,91,34,5,2,0
64681,E00004254,E00004254,Output Areas and Small Areas,OASA,81,29,8,1,0
64682,E00004255,E00004255,Output Areas and Small Areas,OASA,79,43,3,3,0
64683,E00004256,E00004256,Output Areas and Small Areas,OASA,99,42,7,1,0
64684,E00004257,E00004257,Output Areas and Small Areas,OASA,67,41,4,1,0
64685,E00004258,E00004258,Output Areas and Small Areas,OASA,66,34,8,3,0
64686,E00004259,E00004259,Output Areas and Small Areas,OASA,71,32,1,0,0
64687,E00004260,E00004260,Output Areas and Small Areas,OASA,102,34,0,0,0
64688,E00004261,E00004261,Output Areas and Small Areas,OASA,86,26,2,0,0
64689,E00004262,E00004262,Output Areas and Small Areas,OASA,76,37,1,0,0
64690,E00004263,E00004263,Output Areas and Small Areas,OASA,70,44,4,3,0
64691,E00004264,E00004264,Output Areas and Small Areas,OASA,142,28,5,1,0
64692,E00004265,E00004265,Output Areas and Small Areas,OASA,78,32,2,0,0
64693,E00004266,E00004266,Output Areas and Small Areas,OASA,96,57,3,0,0
64694,E00004268,E00004268,Output Areas and Small Areas,OASA,91,45,6,0,0
64695,E00004269,E00004269,Output Areas and Small Areas,OASA,87,29,5,0,0
64696,E00004270,E00004270,Output Areas and Small Areas,OASA,145,40,4,0,0
64697,E00004271,E00004271,Output Areas and Small Areas,OASA,89,48,5,0,0
64698,E00004272,E00004272,Output Areas and Small Areas,OASA,46,56,10,1,0
64699,E00004273,E00004273,Output Areas and Small Areas,OASA,83,60,15,1,0
64700,E00004274,E00004274,Output Areas and Small Areas,OASA,59,63,5,3,0
64701,E00004275,E00004275,Output Areas and Small Areas,OASA,70,28,5,0,1
64702,E00004276,E00004276,Output Areas and Small Areas,OASA,74,40,7,1,0
64703,E00004277,E00004277,Output Areas and Small Areas,OASA,69,61,5,0,0
64704,E00004278,E00004278,Output Areas and Small Areas,OASA,60,39,3,0,0
64705,E00004279,E00004279,Output Areas and Small Areas,OASA,95,32,7,0,0
64706,E00004280,E00004280,Output Areas and Small Areas,OASA,59,41,7,1,0
64707,E00004281,E00004281,Output Areas and Small Areas,OASA,64,47,4,0,0
64708,E00004282,E00004282,Output Areas and Small Areas,OASA,92,42,15,0,0
64709,E00004283,E00004283,Output Areas and Small Areas,OASA,75,48,12,1,1
64710,E00004284,E00004284,Output Areas and Small Areas,OASA,65,60,3,0,0
64711,E00004285,E00004285,Output Areas and Small Areas,OASA,92,44,7,1,0
64712,E00004286,E00004286,Output Areas and Small Areas,OASA,123,33,1,1,0
64713,E00004287,E00004287,Output Areas and Small Areas,OASA,73,36,1,1,0
64714,E00004288,E00004288,Output Areas and Small Areas,OASA,110,48,8,0,0
64715,E00004289,E00004289,Output Areas and Small Areas,OASA,93,32,2,1,1
64716,E00004290,E00004290,Output Areas and Small Areas,OASA,111,37,11,0,5
64717,E00004291,E00004291,Output Areas and Small Areas,OASA,87,47,4,0,0
64718,E00004292,E00004292,Output Areas and Small Areas,OASA,80,37,4,0,0
64719,E00004293,E00004293,Output Areas and Small Areas,OASA,72,47,0,0,0
64720,E00004294,E00004294,Output Areas and Small Areas,OASA,95,23,1,0,0
64721,E00004295,E00004295,Output Areas and Small Areas,OASA,72,64,29,7,3
64722,E00004296,E00004296,Output Areas and Small Areas,OASA,72,44,9,8,0
64723,E00004297,E00004297,Output Areas and Small Areas,OASA,85,53,16,0,0
64724,E00004298,E00004298,Output Areas and Small Areas,OASA,35,46,21,9,1
64725,E00004299,E00004299,Output Areas and Small Areas,OASA,53,65,16,1,0
64726,E00004300,E00004300,Output Areas and Small Areas,OASA,54,46,11,0,0
64727,E00004301,E00004301,Output Areas and Small Areas,OASA,176,53,12,0,0
64728,E00004302,E00004302,Output Areas and Small Areas,OASA,94,34,15,0,0
64729,E00004303,E00004303,Output Areas and Small Areas,OASA,24,59,24,3,3
64730,E00004304,E00004304,Output Areas and Small Areas,OASA,83,78,12,1,4
64731,E00004305,E00004305,Output Areas and Small Areas,OASA,52,68,12,2,0
64732,E00004306,E00004306,Output Areas and Small Areas,OASA,66,80,10,1,0
64733,E00004307,E00004307,Output Areas and Small Areas,OASA,59,67,23,1,0
64734,E00004308,E00004308,Output Areas and Small Areas,OASA,62,50,8,3,0
64735,E00004309,E00004309,Output Areas and Small Areas,OASA,41,54,16,3,1
64736,E00004310,E00004310,Output Areas and Small Areas,OASA,60,60,8,0,0
64737,E00004311,E00004311,Output Areas and Small Areas,OASA,29,56,11,3,0
64738,E00004312,E00004312,Output Areas and Small Areas,OASA,64,72,14,0,0
64739,E00004313,E00004313,Output Areas and Small Areas,OASA,65,57,9,0,0
64740,E00004314,E00004314,Output Areas and Small Areas,OASA,102,39,9,3,0
64741,E00004315,E00004315,Output Areas and Small Areas,OASA,80,65,9,0,0
64742,E00004316,E00004316,Output Areas and Small Areas,OASA,81,34,7,0,0
64743,E00004317,E00004317,Output Areas and Small Areas,OASA,71,72,16,2,0
64744,E00004318,E00004318,Output Areas and Small Areas,OASA,62,43,19,2,0
64745,E00004319,E00004319,Output Areas and Small Areas,OASA,87,48,8,0,0
64746,E00004320,E00004320,Output Areas and Small Areas,OASA,25,65,18,3,1
64747,E00004321,E00004321,Output Areas and Small Areas,OASA,40,57,15,2,0
64748,E00004322,E00004322,Output Areas and Small Areas,OASA,14,49,37,11,3
64749,E00004323,E00004323,Output Areas and Small Areas,OASA,49,40,5,2,0
64750,E00004324,E00004324,Output Areas and Small Areas,OASA,46,50,19,4,3
64751,E00004325,E00004325,Output Areas and Small Areas,OASA,53,51,6,3,0
64752,E00004326,E00004326,Output Areas and Small Areas,OASA,76,29,11,0,1
64753,E00004327,E00004327,Output Areas and Small Areas,OASA,56,73,10,1,0
64754,E00004328,E00004328,Output Areas and Small Areas,OASA,44,33,18,0,0
64755,E00004329,E00004329,Output Areas and Small Areas,OASA,66,53,5,0,0
64756,E00004330,E00004330,Output Areas and Small Areas,OASA,72,63,11,0,0
64757,E00004331,E00004331,Output Areas and Small Areas,OASA,63,38,9,0,2
64758,E00004332,E00004332,Output Areas and Small Areas,OASA,44,30,9,2,2
64759,E00004333,E00004333,Output Areas and Small Areas,OASA,61,56,13,2,1
64760,E00004334,E00004334,Output Areas and Small Areas,OASA,52,44,7,3,0
64761,E00004335,E00004335,Output Areas and Small Areas,OASA,74,57,10,3,1
64762,E00004336,E00004336,Output Areas and Small Areas,OASA,101,57,11,6,0
64763,E00004337,E00004337,Output Areas and Small Areas,OASA,56,44,11,3,0
64764,E00004338,E00004338,Output Areas and Small Areas,OASA,50,47,13,0,2
64765,E00004339,E00004339,Output Areas and Small Areas,OASA,68,39,4,1,0
64766,E00004340,E00004340,Output Areas and Small Areas,OASA,73,18,4,0,0
64767,E00004341,E00004341,Output Areas and Small Areas,OASA,75,50,7,0,0
64768,E00004342,E00004342,Output Areas and Small Areas,OASA,46,38,8,1,1
64769,E00004343,E00004343,Output Areas and Small Areas,OASA,70,42,7,1,0
64770,E00004344,E00004344,Output Areas and Small Areas,OASA,85,27,5,1,0
64771,E00004345,E00004345,Output Areas and Small Areas,OASA,7,51,44,16,3
64772,E00004346,E00004346,Output Areas and Small Areas,OASA,20,53,15,3,3
64773,E00004347,E00004347,Output Areas and Small Areas,OASA,23,48,21,4,1
64774,E00004348,E00004348,Output Areas and Small Areas,OASA,67,39,23,2,0
64775,E00004349,E00004349,Output Areas and Small Areas,OASA,22,41,41,11,2
64776,E00004350,E00004350,Output Areas and Small Areas,OASA,40,71,12,1,1
64777,E00004351,E00004351,Output Areas and Small Areas,OASA,30,62,23,6,10
64778,E00004352,E00004352,Output Areas and Small Areas,OASA,25,58,27,6,2
64779,E00004353,E00004353,Output Areas and Small Areas,OASA,29,69,30,8,1
64780,E00004354,E00004354,Output Areas and Small Areas,OASA,17,54,27,5,5
64781,E00004355,E00004355,Output Areas and Small Areas,OASA,56,50,13,3,0
64782,E00004356,E00004356,Output Areas and Small Areas,OASA,38,57,14,10,2
64783,E00004357,E00004357,Output Areas and Small Areas,OASA,22,60,32,3,1
64784,E00004358,E00004358,Output Areas and Small Areas,OASA,49,44,12,6,3
64785,E00004359,E00004359,Output Areas and Small Areas,OASA,20,57,38,3,3
64786,E00004360,E00004360,Output Areas and Small Areas,OASA,39,59,17,3,0
64787,E00004361,E00004361,Output Areas and Small Areas,OASA,49,33,14,2,1
64788,E00004362,E00004362,Output Areas and Small Areas,OASA,82,39,6,0,0
64789,E00004363,E00004363,Output Areas and Small Areas,OASA,105,36,12,0,0
64790,E00004364,E00004364,Output Areas and Small Areas,OASA,158,59,6,1,1
64791,E00004365,E00004365,Output Areas and Small Areas,OASA,80,51,8,0,0
64792,E00004366,E00004366,Output Areas and Small Areas,OASA,127,32,5,0,1
64793,E00004367,E00004367,Output Areas and Small Areas,OASA,99,45,4,0,0
64794,E00004368,E00004368,Output Areas and Small Areas,OASA,83,74,18,0,0
64795,E00004369,E00004369,Output Areas and Small Areas,OASA,76,42,5,0,0
64796,E00004370,E00004370,Output Areas and Small Areas,OASA,77,30,8,2,0
64797,E00004371,E00004371,Output Areas and Small Areas,OASA,81,22,0,0,0
64798,E00004372,E00004372,Output Areas and Small Areas,OASA,59,45,5,0,0
64799,E00004373,E00004373,Output Areas and Small Areas,OASA,92,47,7,0,0
64800,E00004374,E00004374,Output Areas and Small Areas,OASA,79,16,2,0,0
64801,E00004375,E00004375,Output Areas and Small Areas,OASA,59,53,4,3,0
64802,E00004376,E00004376,Output Areas and Small Areas,OASA,115,47,10,4,0
64803,E00004377,E00004377,Output Areas and Small Areas,OASA,68,26,1,0,0
64804,E00004378,E00004378,Output Areas and Small Areas,OASA,66,63,6,1,1
64805,E00004379,E00004379,Output Areas and Small Areas,OASA,60,60,12,3,0
64806,E00004380,E00004380,Output Areas and Small Areas,OASA,122,25,4,0,1
64807,E00004381,E00004381,Output Areas and Small Areas,OASA,38,63,16,0,0
64808,E00004382,E00004382,Output Areas and Small Areas,OASA,82,42,15,0,0
64809,E00004383,E00004383,Output Areas and Small Areas,OASA,55,38,7,2,1
64810,E00004384,E00004384,Output Areas and Small Areas,OASA,48,43,9,1,0
64811,E00004385,E00004385,Output Areas and Small Areas,OASA,39,41,9,2,0
64812,E00004386,E00004386,Output Areas and Small Areas,OASA,37,55,7,2,0
64813,E00004387,E00004387,Output Areas and Small Areas,OASA,45,36,8,0,0
64814,E00004388,E00004388,Output Areas and Small Areas,OASA,56,32,8,3,0
64815,E00004389,E00004389,Output Areas and Small Areas,OASA,43,47,16,2,0
64816,E00004390,E00004390,Output Areas and Small Areas,OASA,60,42,7,4,0
64817,E00004391,E00004391,Output Areas and Small Areas,OASA,57,57,12,2,0
64818,E00004392,E00004392,Output Areas and Small Areas,OASA,27,60,8,0,0
64819,E00004393,E00004393,Output Areas and Small Areas,OASA,62,44,7,0,0
64820,E00004394,E00004394,Output Areas and Small Areas,OASA,61,28,4,1,0
64821,E00004395,E00004395,Output Areas and Small Areas,OASA,83,42,7,1,0
64822,E00004396,E00004396,Output Areas and Small Areas,OASA,83,42,4,2,0
64823,E00004397,E00004397,Output Areas and Small Areas,OASA,63,39,4,0,0
64824,E00004398,E00004398,Output Areas and Small Areas,OASA,58,36,5,0,0
64825,E00004399,E00004399,Output Areas and Small Areas,OASA,87,35,8,1,0
64826,E00004400,E00004400,Output Areas and Small Areas,OASA,145,34,1,0,0
64827,E00004401,E00004401,Output Areas and Small Areas,OASA,50,53,22,2,1
64828,E00004402,E00004402,Output Areas and Small Areas,OASA,59,56,12,0,0
64829,E00004403,E00004403,Output Areas and Small Areas,OASA,17,48,49,10,4
64830,E00004404,E00004404,Output Areas and Small Areas,OASA,28,59,18,9,2
64831,E00004405,E00004405,Output Areas and Small Areas,OASA,35,63,25,5,0
64832,E00004406,E00004406,Output Areas and Small Areas,OASA,43,54,18,1,1
64833,E00004407,E00004407,Output Areas and Small Areas,OASA,24,51,39,4,0
64834,E00004408,E00004408,Output Areas and Small Areas,OASA,28,49,22,6,1
64835,E00004409,E00004409,Output Areas and Small Areas,OASA,50,44,12,2,0
64836,E00004410,E00004410,Output Areas and Small Areas,OASA,61,53,3,2,1
64837,E00004411,E00004411,Output Areas and Small Areas,OASA,51,47,15,1,0
64838,E00004412,E00004412,Output Areas and Small Areas,OASA,60,46,16,4,2
64839,E00004413,E00004413,Output Areas and Small Areas,OASA,34,51,11,4,1
64840,E00004414,E00004414,Output Areas and Small Areas,OASA,49,55,15,4,0
64841,E00004415,E00004415,Output Areas and Small Areas,OASA,63,60,10,4,2
64842,E00004416,E00004416,Output Areas and Small Areas,OASA,51,43,16,1,3
64843,E00004417,E00004417,Output Areas and Small Areas,OASA,55,49,15,4,2
64844,E00004418,E00004418,Output Areas and Small Areas,OASA,46,51,15,1,1
64845,E00004419,E00004419,Output Areas and Small Areas,OASA,82,34,7,3,0
64846,E00004420,E00004420,Output Areas and Small Areas,OASA,44,50,17,1,0
64847,E00004421,E00004421,Output Areas and Small Areas,OASA,48,62,9,3,1
64848,E00004422,E00004422,Output Areas and Small Areas,OASA,50,34,7,1,0
64849,E00004423,E00004423,Output Areas and Small Areas,OASA,56,60,6,0,0
64850,E00004424,E00004424,Output Areas and Small Areas,OASA,56,53,7,0,1
64851,E00004425,E00004425,Output Areas and Small Areas,OASA,47,69,20,4,0
64852,E00004426,E00004426,Output Areas and Small Areas,OASA,68,55,14,4,2
64853,E00004427,E00004427,Output Areas and Small Areas,OASA,26,57,24,4,6
64854,E00004428,E00004428,Output Areas and Small Areas,OASA,56,71,4,0,0
64855,E00004429,E00004429,Output Areas and Small Areas,OASA,58,56,9,4,0
64856,E00004430,E00004430,Output Areas and Small Areas,OASA,103,19,3,0,0
64857,E00004431,E00004431,Output Areas and Small Areas,OASA,27,59,19,0,1
64858,E00004432,E00004432,Output Areas and Small Areas,OASA,60,59,14,2,0
64859,E00004433,E00004433,Output Areas and Small Areas,OASA,54,64,17,2,2
64860,E00004435,E00004435,Output Areas and Small Areas,OASA,81,34,4,0,0
64861,E00004436,E00004436,Output Areas and Small Areas,OASA,83,62,15,6,0
64862,E00004437,E00004437,Output Areas and Small Areas,OASA,39,56,16,3,2
64863,E00004438,E00004438,Output Areas and Small Areas,OASA,77,37,4,0,0
64864,E00004439,E00004439,Output Areas and Small Areas,OASA,36,52,20,3,2
64865,E00004440,E00004440,Output Areas and Small Areas,OASA,52,50,8,2,0
64866,E00004441,E00004441,Output Areas and Small Areas,OASA,59,51,4,1,0
64867,E00004442,E00004442,Output Areas and Small Areas,OASA,77,28,4,0,0
64868,E00004444,E00004444,Output Areas and Small Areas,OASA,116,42,2,0,0
64869,E00004445,E00004445,Output Areas and Small Areas,OASA,65,35,5,0,0
64870,E00004446,E00004446,Output Areas and Small Areas,OASA,71,41,6,0,0
64871,E00004447,E00004447,Output Areas and Small Areas,OASA,57,18,2,0,0
64872,E00004448,E00004448,Output Areas and Small Areas,OASA,101,37,4,0,0
64873,E00004450,E00004450,Output Areas and Small Areas,OASA,126,39,9,1,0
64874,E00004451,E00004451,Output Areas and Small Areas,OASA,45,67,6,0,0
64875,E00004452,E00004452,Output Areas and Small Areas,OASA,87,50,5,1,0
64876,E00004453,E00004453,Output Areas and Small Areas,OASA,88,45,11,0,0
64877,E00004454,E00004454,Output Areas and Small Areas,OASA,138,45,5,1,0
64878,E00004455,E00004455,Output Areas and Small Areas,OASA,96,24,3,0,0
64879,E00004456,E00004456,Output Areas and Small Areas,OASA,90,33,1,0,0
64880,E00004457,E00004457,Output Areas and Small Areas,OASA,39,63,11,4,0
64881,E00004458,E00004458,Output Areas and Small Areas,OASA,118,55,7,2,0
64882,E00004459,E00004459,Output Areas and Small Areas,OASA,118,34,2,0,0
