CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Total,White-British,White-Irish,White-Gypsy or Irish Traveller, White-Other White,Mixed-White and Black Caribbean,Mixed-White and Black African,Mixed-White and Asian,Mixed-Other Mixed,Asian-Indian,Asian-Pakistani ,Asian-Bangladeshi,Asian-Chinese,Asian-Other Asian,Black-African,Black-Caribbean,Black-Other Black,Other-Arab ,Other-Any other ethnic group
73932,E00013783,E00013783,Output Areas and Small Areas,OASA,445,233,11,0,56,7,0,10,9,11,0,42,6,1,22,12,4,10,11
73933,E00013784,E00013784,Output Areas and Small Areas,OASA,309,190,12,0,34,6,1,0,0,0,1,12,4,1,13,15,14,0,6
73934,E00013785,E00013785,Output Areas and Small Areas,OASA,329,124,16,0,66,4,6,1,7,4,0,4,7,6,50,14,9,3,8
73935,E00013786,E00013786,Output Areas and Small Areas,OASA,243,145,21,0,30,1,1,5,5,7,0,6,0,5,4,5,1,5,2
73936,E00013787,E00013787,Output Areas and Small Areas,OASA,261,116,24,0,46,14,4,5,6,1,0,0,7,9,10,9,7,2,1
73937,E00013788,E00013788,Output Areas and Small Areas,OASA,304,171,24,0,56,1,3,5,9,3,2,2,1,7,6,10,2,0,2
73938,E00013789,E00013789,Output Areas and Small Areas,OASA,336,118,29,0,43,6,6,8,17,5,0,4,0,18,45,16,15,3,3
73939,E00013790,E00013790,Output Areas and Small Areas,OASA,344,206,12,1,57,6,0,4,4,8,0,2,2,2,19,7,11,0,3
73940,E00013791,E00013791,Output Areas and Small Areas,OASA,375,182,21,0,37,10,10,9,6,6,0,2,2,13,19,22,12,20,4
73941,E00013792,E00013792,Output Areas and Small Areas,OASA,330,100,23,0,65,14,5,4,17,3,2,2,0,12,32,15,15,8,13
73942,E00013793,E00013793,Output Areas and Small Areas,OASA,221,125,18,0,29,6,4,4,2,3,0,0,2,2,7,12,1,3,3
73943,E00013794,E00013794,Output Areas and Small Areas,OASA,341,159,16,0,75,15,7,6,7,6,1,2,5,9,10,6,9,4,4
73944,E00013795,E00013795,Output Areas and Small Areas,OASA,270,167,8,0,30,2,6,4,20,2,0,0,5,9,6,7,1,2,1
73945,E00013796,E00013796,Output Areas and Small Areas,OASA,257,137,19,0,26,6,1,7,7,9,2,1,9,6,6,13,4,2,2
73946,E00013797,E00013797,Output Areas and Small Areas,OASA,246,136,18,0,21,7,1,4,11,8,0,4,0,5,8,10,6,0,7
73947,E00013798,E00013798,Output Areas and Small Areas,OASA,220,151,11,0,22,0,1,4,3,2,1,0,5,5,1,6,0,1,7
73948,E00013799,E00013799,Output Areas and Small Areas,OASA,303,163,14,0,47,5,2,3,9,7,0,3,14,13,7,5,2,6,3
73949,E00013800,E00013800,Output Areas and Small Areas,OASA,236,133,16,0,23,7,1,7,1,0,0,0,7,9,1,17,1,7,6
73950,E00013802,E00013802,Output Areas and Small Areas,OASA,378,262,7,0,61,2,0,7,9,5,0,0,2,1,6,8,3,0,5
73951,E00013803,E00013803,Output Areas and Small Areas,OASA,225,127,8,0,11,7,6,1,8,0,0,0,0,5,20,13,10,1,8
73952,E00013804,E00013804,Output Areas and Small Areas,OASA,152,90,19,0,14,1,1,1,0,0,0,0,2,1,13,6,1,0,3
73953,E00013805,E00013805,Output Areas and Small Areas,OASA,184,93,11,0,43,1,3,2,6,0,0,3,4,7,5,2,0,1,3
73954,E00013806,E00013806,Output Areas and Small Areas,OASA,287,136,18,0,46,3,2,11,13,5,3,0,8,5,4,14,15,1,3
73955,E00013807,E00013807,Output Areas and Small Areas,OASA,397,218,18,0,54,2,5,10,4,8,6,10,7,17,23,6,3,1,5
73956,E00013808,E00013808,Output Areas and Small Areas,OASA,220,75,12,0,26,6,6,1,1,1,1,9,0,2,21,22,26,5,6
73957,E00013809,E00013809,Output Areas and Small Areas,OASA,375,172,20,0,54,5,5,11,4,4,0,0,12,10,32,27,12,2,5
73958,E00013810,E00013810,Output Areas and Small Areas,OASA,313,105,12,0,67,8,1,6,8,0,0,5,9,19,37,9,2,6,19
73959,E00013811,E00013811,Output Areas and Small Areas,OASA,246,77,18,0,42,5,2,1,5,3,0,8,4,18,20,14,10,0,19
73960,E00013812,E00013812,Output Areas and Small Areas,OASA,217,109,17,0,35,3,3,1,9,5,4,1,1,8,3,6,2,3,7
73961,E00013813,E00013813,Output Areas and Small Areas,OASA,217,88,6,0,45,0,3,3,5,10,3,1,8,20,9,5,4,1,6
73962,E00013814,E00013814,Output Areas and Small Areas,OASA,193,68,6,0,25,4,0,5,14,2,1,5,5,2,26,15,2,2,11
73963,E00013815,E00013815,Output Areas and Small Areas,OASA,274,121,9,0,74,10,0,2,8,15,3,0,2,6,3,9,7,2,3
73964,E00013816,E00013816,Output Areas and Small Areas,OASA,141,46,7,0,22,7,0,4,5,1,1,1,4,3,13,4,8,0,15
73965,E00013817,E00013817,Output Areas and Small Areas,OASA,249,124,14,0,24,8,2,1,9,0,4,2,8,5,10,28,8,0,2
73966,E00013818,E00013818,Output Areas and Small Areas,OASA,446,202,33,1,86,6,2,9,4,11,7,6,4,16,21,13,5,5,15
73967,E00013819,E00013819,Output Areas and Small Areas,OASA,228,88,11,0,29,5,2,0,5,0,0,9,5,11,31,13,6,5,8
73968,E00013820,E00013820,Output Areas and Small Areas,OASA,197,75,13,1,26,0,3,6,10,3,3,1,8,4,18,17,0,2,7
73969,E00013821,E00013821,Output Areas and Small Areas,OASA,320,158,20,0,41,5,4,0,4,5,0,0,17,9,15,25,10,0,7
73970,E00013822,E00013822,Output Areas and Small Areas,OASA,168,98,13,0,26,2,0,2,3,1,0,0,0,0,8,8,3,0,4
73971,E00013823,E00013823,Output Areas and Small Areas,OASA,146,62,19,0,16,3,1,4,2,5,1,5,3,7,6,5,6,1,0
73972,E00013824,E00013824,Output Areas and Small Areas,OASA,314,151,34,0,57,5,4,10,3,4,0,0,1,13,14,10,2,5,1
73973,E00013825,E00013825,Output Areas and Small Areas,OASA,226,109,16,0,47,3,2,6,3,4,0,1,6,1,13,6,1,0,8
73974,E00013826,E00013826,Output Areas and Small Areas,OASA,271,150,11,0,40,6,0,7,6,3,0,0,3,17,10,6,5,6,1
73975,E00013827,E00013827,Output Areas and Small Areas,OASA,318,164,7,0,42,10,2,11,4,7,5,5,1,3,22,15,10,6,4
73976,E00013828,E00013828,Output Areas and Small Areas,OASA,282,144,17,0,44,11,1,1,5,8,1,1,5,6,14,4,9,5,6
