CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,AB(16-64),C1(16-64),C2(16-64),DE(16-64)
64654,E00004227,E00004227,Output Areas and Small Areas,OASA,76,87,2,29
64655,E00004228,E00004228,Output Areas and Small Areas,OASA,89,39,5,13
64656,E00004229,E00004229,Output Areas and Small Areas,OASA,153,78,8,22
64657,E00004230,E00004230,Output Areas and Small Areas,OASA,69,83,26,46
64658,E00004231,E00004231,Output Areas and Small Areas,OASA,127,91,4,4
64659,E00004232,E00004232,Output Areas and Small Areas,OASA,43,45,8,12
64660,E00004233,E00004233,Output Areas and Small Areas,OASA,90,39,10,24
64661,E00004234,E00004234,Output Areas and Small Areas,OASA,108,58,3,8
64662,E00004235,E00004235,Output Areas and Small Areas,OASA,83,91,25,51
64663,E00004236,E00004236,Output Areas and Small Areas,OASA,72,138,15,54
64664,E00004237,E00004237,Output Areas and Small Areas,OASA,51,77,20,58
64665,E00004238,E00004238,Output Areas and Small Areas,OASA,87,82,10,23
64666,E00004239,E00004239,Output Areas and Small Areas,OASA,56,36,9,46
64667,E00004240,E00004240,Output Areas and Small Areas,OASA,66,116,18,63
64668,E00004241,E00004241,Output Areas and Small Areas,OASA,129,59,9,5
64669,E00004242,E00004242,Output Areas and Small Areas,OASA,62,70,5,8
64670,E00004243,E00004243,Output Areas and Small Areas,OASA,116,59,11,1
64671,E00004244,E00004244,Output Areas and Small Areas,OASA,16,44,53,74
64672,E00004245,E00004245,Output Areas and Small Areas,OASA,71,86,26,46
64673,E00004246,E00004246,Output Areas and Small Areas,OASA,82,58,14,39
64674,E00004247,E00004247,Output Areas and Small Areas,OASA,105,82,13,27
64675,E00004248,E00004248,Output Areas and Small Areas,OASA,100,105,40,93
64676,E00004249,E00004249,Output Areas and Small Areas,OASA,100,48,13,17
64677,E00004250,E00004250,Output Areas and Small Areas,OASA,95,86,21,12
64678,E00004251,E00004251,Output Areas and Small Areas,OASA,79,63,12,10
64679,E00004252,E00004252,Output Areas and Small Areas,OASA,76,79,3,26
64680,E00004253,E00004253,Output Areas and Small Areas,OASA,41,105,21,49
64681,E00004254,E00004254,Output Areas and Small Areas,OASA,44,36,30,100
64682,E00004255,E00004255,Output Areas and Small Areas,OASA,85,68,23,38
64683,E00004256,E00004256,Output Areas and Small Areas,OASA,61,89,17,75
64684,E00004257,E00004257,Output Areas and Small Areas,OASA,75,68,20,30
64685,E00004258,E00004258,Output Areas and Small Areas,OASA,71,103,20,25
64686,E00004259,E00004259,Output Areas and Small Areas,OASA,25,43,28,81
64687,E00004260,E00004260,Output Areas and Small Areas,OASA,14,54,35,66
64688,E00004261,E00004261,Output Areas and Small Areas,OASA,50,58,34,63
64689,E00004262,E00004262,Output Areas and Small Areas,OASA,13,61,25,79
64690,E00004263,E00004263,Output Areas and Small Areas,OASA,32,54,26,121
64691,E00004264,E00004264,Output Areas and Small Areas,OASA,127,129,29,23
64692,E00004265,E00004265,Output Areas and Small Areas,OASA,62,54,28,33
64693,E00004266,E00004266,Output Areas and Small Areas,OASA,67,86,15,81
64694,E00004268,E00004268,Output Areas and Small Areas,OASA,51,73,29,83
64695,E00004269,E00004269,Output Areas and Small Areas,OASA,45,82,16,28
64696,E00004270,E00004270,Output Areas and Small Areas,OASA,73,152,39,85
64697,E00004271,E00004271,Output Areas and Small Areas,OASA,76,111,25,47
64698,E00004272,E00004272,Output Areas and Small Areas,OASA,98,49,13,28
64699,E00004273,E00004273,Output Areas and Small Areas,OASA,144,89,10,29
64700,E00004274,E00004274,Output Areas and Small Areas,OASA,110,71,19,31
64701,E00004275,E00004275,Output Areas and Small Areas,OASA,66,41,11,30
64702,E00004276,E00004276,Output Areas and Small Areas,OASA,65,60,39,37
64703,E00004277,E00004277,Output Areas and Small Areas,OASA,82,69,11,31
64704,E00004278,E00004278,Output Areas and Small Areas,OASA,69,78,10,16
64705,E00004279,E00004279,Output Areas and Small Areas,OASA,60,87,16,55
64706,E00004280,E00004280,Output Areas and Small Areas,OASA,71,59,9,16
64707,E00004281,E00004281,Output Areas and Small Areas,OASA,93,70,9,20
64708,E00004282,E00004282,Output Areas and Small Areas,OASA,96,79,19,36
64709,E00004283,E00004283,Output Areas and Small Areas,OASA,82,80,21,27
64710,E00004284,E00004284,Output Areas and Small Areas,OASA,79,64,20,27
64711,E00004285,E00004285,Output Areas and Small Areas,OASA,116,74,10,22
64712,E00004286,E00004286,Output Areas and Small Areas,OASA,86,88,21,42
64713,E00004287,E00004287,Output Areas and Small Areas,OASA,80,64,18,33
64714,E00004288,E00004288,Output Areas and Small Areas,OASA,99,97,26,32
64715,E00004289,E00004289,Output Areas and Small Areas,OASA,96,80,5,21
64716,E00004290,E00004290,Output Areas and Small Areas,OASA,85,77,24,67
64717,E00004291,E00004291,Output Areas and Small Areas,OASA,41,77,28,85
64718,E00004292,E00004292,Output Areas and Small Areas,OASA,23,49,35,93
64719,E00004293,E00004293,Output Areas and Small Areas,OASA,67,45,21,62
64720,E00004294,E00004294,Output Areas and Small Areas,OASA,93,49,10,18
64721,E00004295,E00004295,Output Areas and Small Areas,OASA,140,98,13,36
64722,E00004296,E00004296,Output Areas and Small Areas,OASA,54,87,29,81
64723,E00004297,E00004297,Output Areas and Small Areas,OASA,115,85,13,29
64724,E00004298,E00004298,Output Areas and Small Areas,OASA,98,79,22,23
64725,E00004299,E00004299,Output Areas and Small Areas,OASA,122,51,9,17
