age,sex,household_size,english_proficiency,marital_status,number_of_cars_and_vans,economic_activity,ethnic_group,highest_qualification,approximated_social_grade
30,2,2,-9,2,2,2,12,15,1
32,1,3,-9,2,1,6,1,11,1
40,1,2,1,1,0,2,4,16,2
9,2,4,-9,1,1,-9,1,-9,-9
25,2,5,1,1,0,2,4,15,1
5,1,3,-9,1,1,-9,7,-9,-9
37,1,1,-9,1,0,2,1,16,2
1,2,3,1,1,0,-9,4,-9,-9
53,1,4,-9,5,1,2,1,15,1
22,1,2,1,1,0,1,4,11,4
43,2,5,-9,2,2,1,1,15,1
65,2,1,2,6,0,12,4,16,-9
21,2,2,2,1,1,13,13,16,-9
56,1,3,-9,2,1,4,1,15,1
12,1,4,-9,1,1,-9,1,-9,-9
70,2,2,-9,3,1,12,1,10,-9
48,2,4,2,6,3,2,13,10,1
75,1,4,-9,2,1,12,1,15,-9
35,1,1,-9,1,2,7,1,15,2
20,1,4,-9,1,1,13,5,14,4
80,1,2,-9,1,1,12,1,10,-9
30,1,2,1,1,0,13,4,15,2
9,2,4,-9,1,0,-9,1,-9,-9
33,1,2,-9,5,0,2,12,15,1
35,2,6,1,2,0,7,11,10,4
43,1,4,1,2,1,2,4,15,1
4,2,3,-9,1,1,-9,6,-9,-9
21,2,3,1,1,1,13,16,10,2
33,2,7,3,2,1,14,11,16,4
39,2,2,2,5,0,7,11,12,4
60,2,2,-9,2,1,5,1,15,2
38,1,1,-9,1,0,16,4,15,2
70,2,1,1,1,0,12,4,11,-9
14,1,5,-9,1,3,-9,1,-9,-9
40,2,4,-9,2,0,6,1,14,1
4,1,4,-9,1,0,-9,7,-9,-9
41,2,4,1,2,1,6,4,15,2
34,1,3,-9,1,0,2,1,15,1
46,1,4,-9,1,0,6,16,16,2
32,2,2,1,1,1,13,4,14,1
39,2,3,1,2,0,1,4,15,1
28,2,2,-9,1,0,2,4,15,2
51,2,1,-9,1,1,2,1,15,1
42,1,4,-9,2,1,6,1,15,2
6,1,4,-9,1,1,-9,8,-9,-9
13,1,4,-9,1,2,-9,1,-9,-9
35,1,2,2,1,0,16,18,11,2
13,1,2,1,1,0,-9,6,-9,-9
3,1,5,-9,1,1,-9,11,-9,-9
21,1,2,-9,1,0,14,1,14,4
52,2,6,3,2,0,15,11,10,3
12,1,4,-9,1,0,-9,1,-9,-9
6,2,4,-9,1,2,-9,1,-9,-9
33,2,1,-9,1,1,7,1,15,2
5,1,4,-9,1,1,-9,1,-9,-9
21,1,2,-9,1,1,-9,-9,-9,-9
35,1,3,-9,2,0,2,4,16,2
11,2,5,-9,1,2,-9,1,-9,-9
13,1,5,-9,1,2,-9,1,-9,-9
4,1,4,-9,1,1,-9,1,-9,-9
51,1,8,-9,2,0,3,4,16,2
57,1,1,-9,1,0,6,1,14,2
33,1,3,-9,2,1,2,1,15,1
46,2,3,-9,1,1,5,1,15,2
63,2,1,-9,5,1,12,1,15,1
80,1,2,-9,2,1,5,1,15,-9
27,2,5,-9,1,2,1,1,15,1
26,1,9,1,1,0,2,4,16,1
1,1,4,-9,1,2,-9,1,-9,-9
61,1,2,-9,1,1,12,4,15,1
35,1,2,1,2,1,6,4,15,1
24,2,2,-9,1,1,5,1,15,1
50,1,5,-9,2,1,6,1,15,2
40,2,4,2,2,1,16,13,15,1
51,2,3,1,1,1,13,1,15,2
66,2,1,-9,6,0,15,4,15,-9
39,1,0,1,1,0,2,4,16,-9
64,1,1,-9,1,0,16,1,15,1
66,1,2,-9,1,0,12,2,10,-9
3,2,4,-9,1,1,-9,4,-9,-9
35,2,3,-9,5,1,2,4,15,4
25,1,1,-9,1,0,2,1,15,1
70,1,2,-9,3,1,12,1,16,-9
36,2,2,-9,1,0,15,15,14,4
10,2,3,-9,1,0,-9,1,-9,-9
24,2,1,2,1,0,2,4,15,1
53,2,1,-9,5,0,15,1,11,4
15,2,4,-9,1,1,-9,1,-9,-9
35,2,2,-9,1,0,16,14,12,2
55,2,4,-9,2,1,2,15,15,4
27,2,2,-9,2,2,6,1,14,2
13,1,4,-9,1,0,-9,14,-9,-9
14,2,9,2,1,0,-9,11,-9,-9
5,1,4,-9,1,1,-9,4,-9,-9
7,2,4,-9,1,0,-9,11,-9,-9
3,1,4,-9,1,1,-9,6,-9,-9
56,1,2,-9,3,1,4,18,15,1
16,2,3,-9,1,1,9,5,11,2
58,1,5,4,2,0,15,11,10,4
65,2,4,3,2,1,15,16,10,-9
32,2,2,-9,1,2,4,1,15,1
3,1,5,-9,1,0,-9,14,-9,-9
68,2,1,4,5,1,16,11,16,-9
